timestamp,SURFMODEL_MAXBWH_MT,OBSERVATION_MAXBWH_FT,WAVEMODEL_SIGH_MT,WAVEMODEL_PART_0_SIGH_MT,WAVEMODEL_PART_0_PERIOD_SEC,WAVEMODEL_PART_0_DIRECTION_DEG,WAVEMODEL_PART_0_SPREAD_DEG,WAVEMODEL_PART_1_SIGH_MT,WAVEMODEL_PART_1_PERIOD_SEC,WAVEMODEL_PART_1_DIRECTION_DEG,WAVEMODEL_PART_1_SPREAD_DEG,WAVEMODEL_PART_2_SIGH_MT,WAVEMODEL_PART_2_PERIOD_SEC,WAVEMODEL_PART_2_DIRECTION_DEG,WAVEMODEL_PART_2_SPREAD_DEG,WAVEMODEL_PART_3_SIGH_MT,WAVEMODEL_PART_3_PERIOD_SEC,WAVEMODEL_PART_3_DIRECTION_DEG,WAVEMODEL_PART_3_SPREAD_DEG,WAVEMODEL_PART_4_SIGH_MT,WAVEMODEL_PART_4_PERIOD_SEC,WAVEMODEL_PART_4_DIRECTION_DEG,WAVEMODEL_PART_4_SPREAD_DEG,WAVEMODEL_PART_5_SIGH_MT,WAVEMODEL_PART_5_PERIOD_SEC,WAVEMODEL_PART_5_DIRECTION_DEG,WAVEMODEL_PART_5_SPREAD_DEG,TIDE_LEVEL_FT,TIME_LOCAL_YEAR,TIME_LOCAL_MONTH,TIME_LOCAL_DAY,TIME_LOCAL_HOUR
1630450800,0.16,,0.49,0.48,3.2,54,24.2,0.1,8.7,270.2,8.9,0.06,10,270.9,11.9,0,0,0,0,0,0,0,0,0,0,0,0,20.4,2021,9,1,0
1630454400,0.18,,0.49,0.47,3.2,53.7,24.8,0.12,9.6,270.1,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,2021,9,1,1
1630458000,0.18,,0.48,0.47,3.2,54.7,25.7,0.12,9.6,270.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,2021,9,1,2
1630461600,0.18,,0.48,0.46,3.2,55.7,26,0.12,9.4,270.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,2021,9,1,3
1630465200,0.18,,0.48,0.47,3.2,55.9,25.5,0.11,9.2,270.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,2021,9,1,4
1630468800,0.18,,0.51,0.49,3.3,56.3,25.1,0.11,9.1,270.4,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,2021,9,1,5
1630472400,0.17,,0.53,0.51,3.4,57,25.7,0.11,9.1,270.5,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,2021,9,1,6
1630476000,0.17,1,0.54,0.52,3.4,57.5,26.4,0.11,9,270.3,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,2021,9,1,7
1630479600,0.17,,0.56,0.55,3.3,58.8,27.2,0.11,9,270.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,2021,9,1,8
1630483200,0.16,,0.59,0.57,3.3,60.3,27.8,0.11,9,270.5,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2021,9,1,9
1630486800,0.16,,0.6,0.59,3.3,60.5,27.9,0.11,9,271,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,2021,9,1,10
1630490400,0.16,,0.58,0.57,3.3,61,28.4,0.11,9,270.9,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,2021,9,1,11
1630494000,0.16,,0.55,0.54,3.2,61.6,28.9,0.1,8.9,270.7,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,2021,9,1,12
1630497600,0.16,,0.5,0.49,3.1,61.5,29.3,0.1,8.9,270.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,2021,9,1,13
1630501200,0.16,,0.45,0.44,3,62,29.3,0.1,8.9,270.6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2021,9,1,14
1630504800,0.15,,0.44,0.43,2.9,62.1,27.4,0.1,8.9,270.5,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,2021,9,1,15
1630508400,0.15,,0.46,0.45,3,65.5,27.1,0.1,8.8,270.6,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,2021,9,1,16
1630512000,0.15,,0.48,0.47,3.1,68.8,27.1,0.1,8.8,270.6,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,2021,9,1,17
1630515600,0.15,,0.48,0.47,3.1,68.6,27.1,0.1,8.7,268.7,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,2021,9,1,18
1630519200,0.15,,0.5,0.49,3.1,64.8,25.9,0.09,8.6,270.4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,2021,9,1,19
1630522800,0.15,,0.51,0.51,3.2,59.6,24.2,0.09,8.6,270.3,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,2021,9,1,20
1630526400,0.15,,0.51,0.51,3.3,56,23.2,0.09,8.5,268.8,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,2021,9,1,21
1630530000,0.14,,0.51,0.5,3.4,54.5,23.3,0.09,8.4,269,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,2021,9,1,22
1630533600,0.14,,0.48,0.47,3.4,54.2,24.3,0.09,8.3,268.7,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2021,9,1,23
1630537200,0.13,,0.46,0.45,3.4,55.6,25.3,0.08,8.3,268.6,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,2021,9,2,0
1630540800,0.13,,0.51,0.51,3.2,58.3,26.3,0.08,8.3,268.5,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,2021,9,2,1
1630544400,0.13,,0.58,0.58,3.4,59.4,26.9,0.08,8.3,268.7,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,2021,9,2,2
1630548000,0.13,,0.62,0.62,3.5,58.6,27,0.08,8.4,268.4,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2021,9,2,3
1630551600,0.12,,0.62,0.62,3.7,58.5,27.1,0.07,8.4,268.1,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2021,9,2,4
1630555200,0.12,,0.61,0.6,3.2,57.9,26.7,0.07,8.5,267.6,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,2021,9,2,5
1630558800,0.12,,0.6,0.6,3.2,57,26.1,0.07,8.7,270,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,2021,9,2,6
1630562400,0.12,1,0.59,0.59,3.2,56.2,26.1,0.07,8.4,266.8,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,2021,9,2,7
1630566000,0.12,,0.59,0.58,3.2,55.4,25.7,0.07,8.3,266.5,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,2021,9,2,8
1630569600,0.12,,0.62,0.62,3.7,55,25.1,0.06,8.2,266.3,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,2021,9,2,9
